epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,789.165,1.95568,0.51407,2.36973,1.93734,0.04138,0.02778,0.03741,0.00666,0.00527,0.25,0.00389,0.00101,2.95951,0.74408,3.46809,2.75497,0.0008912,0.0008912,0.0008912
114,798.773,1.89202,0.47367,2.27996,1.78225,0.03178,0.13889,0.04396,0.00795,0.00695,0.33333,0.00533,0.00115,2.86921,0.71866,3.37965,2.75634,0.0008813,0.0008813,0.0008813
115,805.956,1.84511,0.42693,2.26617,1.75864,0.03178,0.13889,0.04396,0.00795,0.00695,0.33333,0.00533,0.00115,2.86921,0.71866,3.37965,2.75634,0.0008714,0.0008714,0.0008714
116,814.409,1.87353,0.47254,2.30722,1.74784,0.03178,0.13889,0.04396,0.00795,0.00695,0.33333,0.00533,0.00115,2.86921,0.71866,3.37965,2.75634,0.0008615,0.0008615,0.0008615
117,821.831,1.99749,0.45828,2.57311,1.88913,0.03178,0.13889,0.04396,0.00795,0.00695,0.33333,0.00533,0.00115,2.86921,0.71866,3.37965,2.75634,0.0008516,0.0008516,0.0008516
118,830.747,2.06746,0.49077,2.34481,1.91517,0.01167,0.58333,0.01632,0.00408,0.00556,0.27778,0.00522,0.00089,2.9353,0.67841,3.35566,2.78776,0.0008417,0.0008417,0.0008417
119,837.987,1.79311,0.41881,2.23287,1.74989,0.01167,0.58333,0.01632,0.00408,0.00556,0.27778,0.00522,0.00089,2.9353,0.67841,3.35566,2.78776,0.0008318,0.0008318,0.0008318
120,845.726,1.94086,0.44098,2.20625,1.76363,0.01167,0.58333,0.01632,0.00408,0.00556,0.27778,0.00522,0.00089,2.9353,0.67841,3.35566,2.78776,0.0008219,0.0008219,0.0008219
121,854.68,1.87476,0.42765,2.24385,1.85278,0.01301,0.05556,0.0384,0.009,0.00651,0.02778,0.0299,0.00348,2.92002,0.71342,3.25767,2.71391,0.000812,0.000812,0.000812
122,862.02,1.89077,0.43869,2.37371,1.7868,0.01301,0.05556,0.0384,0.009,0.00651,0.02778,0.0299,0.00348,2.92002,0.71342,3.25767,2.71391,0.0008021,0.0008021,0.0008021
123,868.983,1.65035,0.40704,2.3804,1.6143,0.01301,0.05556,0.0384,0.009,0.00651,0.02778,0.0299,0.00348,2.92002,0.71342,3.25767,2.71391,0.0007922,0.0007922,0.0007922
124,876.801,2.14621,0.49543,2.44183,1.89255,0.01301,0.05556,0.0384,0.009,0.00651,0.02778,0.0299,0.00348,2.92002,0.71342,3.25767,2.71391,0.0007823,0.0007823,0.0007823
125,885.814,1.84912,0.42239,2.25889,1.82457,0.14891,0.02778,0.04626,0.01009,0.63626,0.02778,0.03074,0.00625,2.96379,0.76099,3.25271,2.76552,0.0007724,0.0007724,0.0007724
126,893.071,1.91106,0.49086,2.15826,1.81526,0.14891,0.02778,0.04626,0.01009,0.63626,0.02778,0.03074,0.00625,2.96379,0.76099,3.25271,2.76552,0.0007625,0.0007625,0.0007625
127,900.122,1.95681,0.5481,2.29356,1.83798,0.14891,0.02778,0.04626,0.01009,0.63626,0.02778,0.03074,0.00625,2.96379,0.76099,3.25271,2.76552,0.0007526,0.0007526,0.0007526
128,910.551,1.91157,0.4392,2.28344,1.87926,0.27917,0.02778,0.04871,0.0117,0.74969,0.02778,0.03199,0.00653,2.96874,0.73477,3.30286,2.76248,0.0007427,0.0007427,0.0007427
129,917.949,1.82801,0.47757,2.10181,1.81304,0.27917,0.02778,0.04871,0.0117,0.74969,0.02778,0.03199,0.00653,2.96874,0.73477,3.30286,2.76248,0.0007328,0.0007328,0.0007328
130,924.791,1.7211,0.38926,2.00937,1.70777,0.27917,0.02778,0.04871,0.0117,0.74969,0.02778,0.03199,0.00653,2.96874,0.73477,3.30286,2.76248,0.0007229,0.0007229,0.0007229
131,932.166,1.80302,0.43549,2.14722,1.77538,0.27917,0.02778,0.04871,0.0117,0.74969,0.02778,0.03199,0.00653,2.96874,0.73477,3.30286,2.76248,0.000713,0.000713,0.000713
